Start Time, Mon Nov 7 12:54:06 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 600
Real Time (s), 600.082092
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
511, 1022, 4
512, 1024, 6
513, 1026, 7
514, 1028, 6
515, 1030, 7
516, 1032, 7
517, 1034, 4
518, 1036, 7
519, 1038, 1
520, 1040, 5
521, 1042, 5
522, 1044, 5
523, 1046, 2
524, 1048, 5
525, 1050, 8
526, 1052, 8
527, 1054, 6
528, 1056, 7
529, 1058, 2
530, 1060, 8
531, 1062, 5
532, 1064, 11
533, 1066, 8
534, 1068, 4
535, 1070, 6
536, 1072, 5
537, 1074, 7
538, 1076, 9
539, 1078, 6
540, 1080, 4
541, 1082, 8
542, 1084, 8
543, 1086, 2
544, 1088, 10
545, 1090, 7
546, 1092, 10
547, 1094, 3
548, 1096, 3
549, 1098, 5
550, 1100, 5
551, 1102, 6
552, 1104, 3
553, 1106, 4
554, 1108, 4
555, 1110, 6
556, 1112, 7
557, 1114, 6
558, 1116, 1
559, 1118, 3
560, 1120, 4
561, 1122, 6
562, 1124, 5
563, 1126, 5
564, 1128, 7
565, 1130, 8
566, 1132, 5
567, 1134, 9
568, 1136, 0
569, 1138, 8
570, 1140, 5
571, 1142, 8
572, 1144, 3
573, 1146, 6
574, 1148, 3
575, 1150, 3
576, 1152, 3
577, 1154, 3
578, 1156, 7
579, 1158, 3
580, 1160, 2
581, 1162, 2
582, 1164, 7
583, 1166, 5
584, 1168, 5
585, 1170, 6
586, 1172, 6
587, 1174, 5
588, 1176, 8
589, 1178, 7
590, 1180, 7
591, 1182, 4
592, 1184, 7
593, 1186, 4
594, 1188, 5
595, 1190, 7
596, 1192, 4
597, 1194, 6
598, 1196, 5
599, 1198, 5
600, 1200, 3
601, 1202, 2
602, 1204, 4
603, 1206, 6
604, 1208, 3
605, 1210, 3
606, 1212, 7
607, 1214, 4
608, 1216, 7
609, 1218, 6
610, 1220, 6
611, 1222, 6
612, 1224, 6
613, 1226, 8
614, 1228, 4
615, 1230, 4
616, 1232, 3
617, 1234, 8
618, 1236, 11
619, 1238, 7
620, 1240, 1
621, 1242, 7
622, 1244, 7
623, 1246, 4
624, 1248, 4
625, 1250, 10
626, 1252, 4
627, 1254, 9
628, 1256, 2
629, 1258, 6
630, 1260, 6
631, 1262, 9
632, 1264, 3
633, 1266, 5
634, 1268, 9
635, 1270, 5
636, 1272, 6
637, 1274, 11
638, 1276, 6
639, 1278, 4
640, 1280, 5
641, 1282, 5
642, 1284, 1
643, 1286, 8
644, 1288, 10
645, 1290, 4
646, 1292, 2
647, 1294, 10
648, 1296, 6
649, 1298, 10
650, 1300, 5
651, 1302, 3
652, 1304, 10
653, 1306, 7
654, 1308, 7
655, 1310, 7
656, 1312, 0
657, 1314, 5
658, 1316, 5
659, 1318, 5
660, 1320, 2
661, 1322, 4
662, 1324, 4
663, 1326, 5
664, 1328, 7
665, 1330, 4
666, 1332, 4
667, 1334, 2
668, 1336, 4
669, 1338, 4
670, 1340, 2
671, 1342, 6
672, 1344, 4
673, 1346, 6
674, 1348, 7
675, 1350, 6
676, 1352, 11
677, 1354, 5
678, 1356, 3
679, 1358, 3
680, 1360, 2
681, 1362, 8
682, 1364, 8
683, 1366, 7
684, 1368, 3
685, 1370, 4
686, 1372, 1
687, 1374, 3
688, 1376, 3
689, 1378, 4
690, 1380, 6
691, 1382, 6
692, 1384, 6
693, 1386, 5
694, 1388, 5
695, 1390, 6
696, 1392, 1
697, 1394, 6
698, 1396, 0
699, 1398, 5
700, 1400, 7
701, 1402, 9
702, 1404, 4
703, 1406, 6
704, 1408, 6
705, 1410, 4
706, 1412, 9
707, 1414, 4
708, 1416, 7
709, 1418, 8
710, 1420, 7
711, 1422, 4
712, 1424, 5
713, 1426, 3
714, 1428, 7
715, 1430, 9
716, 1432, 4
717, 1434, 4
718, 1436, 4
719, 1438, 8
720, 1440, 3
721, 1442, 4
722, 1444, 4
723, 1446, 5
724, 1448, 3
725, 1450, 4
726, 1452, 1
727, 1454, 5
728, 1456, 7
729, 1458, 2
730, 1460, 2
731, 1462, 6
732, 1464, 5
733, 1466, 4
734, 1468, 5
735, 1470, 7
736, 1472, 5
737, 1474, 3
738, 1476, 3
739, 1478, 2
740, 1480, 3
741, 1482, 1
742, 1484, 8
743, 1486, 1
744, 1488, 5
745, 1490, 3
746, 1492, 6
747, 1494, 2
748, 1496, 6
749, 1498, 5
750, 1500, 2
751, 1502, 4
752, 1504, 3
753, 1506, 5
754, 1508, 4
755, 1510, 6
756, 1512, 2
757, 1514, 6
758, 1516, 3
759, 1518, 2
760, 1520, 4
761, 1522, 9
762, 1524, 2
763, 1526, 7
764, 1528, 4
765, 1530, 9
766, 1532, 4
767, 1534, 4
768, 1536, 3
769, 1538, 5
770, 1540, 4
771, 1542, 6
772, 1544, 6
773, 1546, 5
774, 1548, 8
775, 1550, 7
776, 1552, 3
777, 1554, 4
778, 1556, 2
779, 1558, 7
780, 1560, 8
781, 1562, 7
782, 1564, 3
783, 1566, 4
784, 1568, 1
785, 1570, 3
786, 1572, 1
787, 1574, 2
788, 1576, 2
789, 1578, 2
790, 1580, 4
791, 1582, 7
792, 1584, 5
793, 1586, 5
794, 1588, 4
795, 1590, 2
796, 1592, 1
797, 1594, 5
798, 1596, 6
799, 1598, 5
800, 1600, 4
801, 1602, 2
802, 1604, 7
803, 1606, 2
804, 1608, 4
805, 1610, 1
806, 1612, 2
807, 1614, 6
808, 1616, 3
809, 1618, 6
810, 1620, 4
811, 1622, 7
812, 1624, 4
813, 1626, 4
814, 1628, 7
815, 1630, 3
816, 1632, 5
817, 1634, 3
818, 1636, 2
819, 1638, 1
820, 1640, 1
821, 1642, 3
822, 1644, 2
823, 1646, 3
824, 1648, 5
825, 1650, 5
826, 1652, 3
827, 1654, 3
828, 1656, 5
829, 1658, 3
830, 1660, 2
831, 1662, 1
832, 1664, 4
833, 1666, 3
834, 1668, 0
835, 1670, 2
836, 1672, 5
837, 1674, 2
838, 1676, 0
839, 1678, 5
840, 1680, 2
841, 1682, 1
842, 1684, 3
843, 1686, 2
844, 1688, 1
845, 1690, 1
846, 1692, 3
847, 1694, 0
848, 1696, 6
849, 1698, 4
850, 1700, 2
851, 1702, 4
852, 1704, 2
853, 1706, 3
854, 1708, 5
855, 1710, 2
856, 1712, 3
857, 1714, 3
858, 1716, 1
859, 1718, 3
860, 1720, 2
861, 1722, 1
862, 1724, 0
863, 1726, 1
864, 1728, 5
865, 1730, 1
866, 1732, 1
867, 1734, 2
868, 1736, 2
869, 1738, 4
870, 1740, 3
871, 1742, 4
